Model,Class,Precision,Recall,F1,Support
Logistic Regression,Low,0.9285714285714286,1.0,0.9629629629629629,26
Logistic Regression,Medium,1.0,0.9787234042553191,0.989247311827957,94
Logistic Regression,High,1.0,1.0,1.0,80
Decision Tree,Low,0.6538461538461539,0.6538461538461539,0.6538461538461539,26
Decision Tree,Medium,0.6862745098039216,0.7446808510638298,0.7142857142857143,94
Decision Tree,High,0.7777777777777778,0.7,0.7368421052631579,80
Random Forest,Low,0.8695652173913043,0.7692307692307693,0.8163265306122449,26
Random Forest,Medium,0.7685185185185185,0.8829787234042553,0.8217821782178217,94
Random Forest,High,0.8840579710144928,0.7625,0.8187919463087249,80
SVM,Low,0.9285714285714286,1.0,0.9629629629629629,26
SVM,Medium,1.0,0.9787234042553191,0.989247311827957,94
SVM,High,1.0,1.0,1.0,80
XGBoost,Low,0.8947368421052632,0.6538461538461539,0.7555555555555555,26
XGBoost,Medium,0.8285714285714286,0.925531914893617,0.8743718592964824,94
XGBoost,High,0.9342105263157895,0.8875,0.9102564102564102,80
